city,year,month,date,price
贵阳,2022,8,2022-08,9308
贵阳,2022,9,2022-09,9277
贵阳,2022,10,2022-10,9169
贵阳,2022,11,2022-11,9187
贵阳,2022,12,2022-12,9096
贵阳,2023,1,2023-01,9106
贵阳,2023,2,2023-02,9175
贵阳,2023,3,2023-03,9205
贵阳,2023,4,2023-04,9108
贵阳,2023,5,2023-05,9144
贵阳,2023,6,2023-06,9055
贵阳,2023,7,2023-07,9025
贵阳,2023,8,2023-08,9087
贵阳,2023,9,2023-09,9048
贵阳,2023,10,2023-10,9104
贵阳,2023,11,2023-11,9091
贵阳,2023,12,2023-12,9161
贵阳,2024,1,2024-01,9165
贵阳,2024,2,2024-02,9162
贵阳,2024,3,2024-03,9069
贵阳,2024,4,2024-04,9067
贵阳,2024,5,2024-05,8960
贵阳,2024,6,2024-06,9039
贵阳,2024,7,2024-07,9040
贵阳,2024,8,2024-08,9040
贵阳,2024,9,2024-09,9035
贵阳,2024,10,2024-10,9035
贵阳,2024,11,2024-11,9035
贵阳,2024,12,2024-12,9035
贵阳,2025,1,2025-01,8994
贵阳,2025,2,2025-02,8990
贵阳,2025,3,2025-03,8990
贵阳,2025,4,2025-04,8927
贵阳,2025,5,2025-05,8824
贵阳,2025,6,2025-06,8686
贵阳,2025,7,2025-07,8686
贵阳,2025,8,2025-08,8663
贵阳,2025,9,2025-09,8618
贵阳,2025,10,2025-10,8762
贵阳,2025,11,2025-11,8762
贵阳,2025,12,2025-12,8762
南昌,2017,1,2017-01,9755
南昌,2017,2,2017-02,9963
南昌,2017,3,2017-03,10224
南昌,2017,4,2017-04,10663
南昌,2017,5,2017-05,10872
南昌,2017,6,2017-06,11752
南昌,2017,7,2017-07,11935
南昌,2017,8,2017-08,12076
南昌,2017,9,2017-09,12622
南昌,2017,10,2017-10,12508
南昌,2017,11,2017-11,12356
南昌,2017,12,2017-12,12196
南昌,2018,1,2018-01,12291
南昌,2018,2,2018-02,12388
南昌,2018,3,2018-03,12581
南昌,2018,4,2018-04,12791
南昌,2018,5,2018-05,13067
南昌,2018,6,2018-06,13614
南昌,2018,7,2018-07,14139
南昌,2018,8,2018-08,14640
南昌,2018,9,2018-09,14397
南昌,2018,10,2018-10,14172
南昌,2018,11,2018-11,14086
南昌,2018,12,2018-12,13807
南昌,2019,1,2019-01,13647
南昌,2019,2,2019-02,13544
南昌,2019,3,2019-03,13728
南昌,2019,4,2019-04,13881
南昌,2019,5,2019-05,13771
南昌,2019,6,2019-06,13653
南昌,2019,7,2019-07,13487
南昌,2019,8,2019-08,13773
南昌,2019,9,2019-09,13666
南昌,2019,10,2019-10,13506
南昌,2019,11,2019-11,13643
南昌,2019,12,2019-12,13267
南昌,2020,1,2020-01,13149
南昌,2020,2,2020-02,13158
南昌,2020,3,2020-03,13124
南昌,2020,4,2020-04,13224
南昌,2020,5,2020-05,13250
南昌,2020,6,2020-06,13311
南昌,2020,7,2020-07,13281
南昌,2020,8,2020-08,13187
南昌,2020,9,2020-09,12924
南昌,2020,10,2020-10,12941
南昌,2020,11,2020-11,12894
南昌,2020,12,2020-12,12762
南昌,2021,1,2021-01,12616
南昌,2021,2,2021-02,12553
南昌,2021,3,2021-03,12573
南昌,2021,4,2021-04,12371
南昌,2021,5,2021-05,12338
南昌,2021,6,2021-06,12402
南昌,2021,7,2021-07,12350
南昌,2021,8,2021-08,12386
南昌,2021,9,2021-09,12525
南昌,2021,10,2021-10,12356
南昌,2021,11,2021-11,12012
南昌,2021,12,2021-12,12031
南昌,2022,1,2022-01,11975
南昌,2022,2,2022-02,11878
南昌,2022,3,2022-03,11931
南昌,2022,4,2022-04,11885
南昌,2022,5,2022-05,11881
南昌,2022,6,2022-06,11911
南昌,2022,7,2022-07,11878
南昌,2022,8,2022-08,11941
南昌,2022,9,2022-09,11840
南昌,2022,10,2022-10,11968
南昌,2022,11,2022-11,12059
南昌,2022,12,2022-12,12005
南昌,2023,1,2023-01,11979
南昌,2023,2,2023-02,11916
南昌,2023,3,2023-03,11593
南昌,2023,4,2023-04,11574
南昌,2023,5,2023-05,11436
南昌,2023,6,2023-06,11417
南昌,2023,7,2023-07,11420
南昌,2023,8,2023-08,11370
南昌,2023,9,2023-09,11224
南昌,2023,10,2023-10,11172
南昌,2023,11,2023-11,11187
南昌,2023,12,2023-12,11217
南昌,2024,1,2024-01,11269
南昌,2024,2,2024-02,11212
南昌,2024,3,2024-03,11294
南昌,2024,4,2024-04,11320
南昌,2024,5,2024-05,11299
南昌,2024,6,2024-06,11246
南昌,2024,7,2024-07,11369
南昌,2024,8,2024-08,11361
南昌,2024,9,2024-09,11384
南昌,2024,10,2024-10,11403
南昌,2024,11,2024-11,11403
南昌,2024,12,2024-12,11403
南昌,2025,1,2025-01,11403
南昌,2025,2,2025-02,11341
南昌,2025,3,2025-03,11215
南昌,2025,4,2025-04,11279
南昌,2025,5,2025-05,11251
南昌,2025,6,2025-06,11251
南昌,2025,7,2025-07,11221
南昌,2025,8,2025-08,11258
南昌,2025,9,2025-09,11254
南昌,2025,10,2025-10,11254
南昌,2025,11,2025-11,11360
南昌,2025,12,2025-12,11398
杭州,2017,1,2017-01,20721
杭州,2017,2,2017-02,20989
杭州,2017,3,2017-03,21112
杭州,2017,4,2017-04,21453
杭州,2017,5,2017-05,21743
杭州,2017,6,2017-06,24222
杭州,2017,7,2017-07,25301
杭州,2017,8,2017-08,24898
杭州,2017,9,2017-09,24898
杭州,2017,10,2017-10,25664
杭州,2017,11,2017-11,27661
杭州,2017,12,2017-12,25653
杭州,2018,1,2018-01,25269
杭州,2018,2,2018-02,25646
杭州,2018,3,2018-03,25880
杭州,2018,4,2018-04,25162
杭州,2018,5,2018-05,26035
杭州,2018,6,2018-06,27845
杭州,2018,7,2018-07,26763
杭州,2018,8,2018-08,25574
杭州,2018,9,2018-09,24367
杭州,2018,10,2018-10,22906
杭州,2018,11,2018-11,21576
杭州,2018,12,2018-12,23062
杭州,2019,1,2019-01,23270
杭州,2019,2,2019-02,23172
杭州,2019,3,2019-03,23043
杭州,2019,4,2019-04,22571
杭州,2019,5,2019-05,22974
杭州,2019,6,2019-06,23132
杭州,2019,7,2019-07,22587
杭州,2019,8,2019-08,22400
杭州,2019,9,2019-09,24013
杭州,2019,10,2019-10,24025
杭州,2019,11,2019-11,24718
杭州,2019,12,2019-12,26273
杭州,2020,1,2020-01,25687
杭州,2020,2,2020-02,26007
杭州,2020,3,2020-03,25356
杭州,2020,4,2020-04,24951
杭州,2020,5,2020-05,25532
杭州,2020,6,2020-06,24925
杭州,2020,7,2020-07,24840
杭州,2020,8,2020-08,24449
杭州,2020,9,2020-09,24125
