crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
朝阳,新北苑  业之峰豪装经典小三居上新  拎包入住 无遮挡,599,万,66741元/㎡,3室1厅1卫,89.75,南北,低层(共16层),2015,北京城建世华泊郡,朝阳,北苑,朝阳 北苑 水岸中街19号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3846388135305216x.shtml?auction=220&hpType=60&entry=102&position=32&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_32&from=from_esf_List_screen&index=34,2025-11-28 13:34:39
朝阳,小区经典户型 户型方正 动静分离      看房随时,465,万,46389元/㎡,2室1厅2卫,100.24,东南,高层(共28层),2000,望京西园三区,朝阳,望京,朝阳 望京 望京街,东南 有电梯 近地铁 户型方正,https://bj.58.com/ershoufang/4310653964606465x.shtml?auction=220&hpType=60&entry=102&position=33&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_33&from=from_esf_List_screen&index=35,2025-11-28 13:34:39
朝阳,北苑望春园 2010年交房入住 南北全明两居  交易仅,439,万,45170元/㎡,2室1厅1卫,97.19,南北,低层(共25层),2010,望春园,朝阳,北苑,朝阳 北苑 锦芳北街,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/3806908243731469x.shtml?auction=220&hpType=60&entry=102&position=34&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_34&from=from_esf_List_screen&index=36,2025-11-28 13:34:39
朝阳,安慧北里逸园精装2居客厅朝南带窗几年出一套,328,万,54215元/㎡,2室1厅1卫,60.5,东西,高层(共6层),1994,安慧北里逸园,朝阳,亚运村,朝阳 亚运村 大屯路,东西 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4275514184556550x.shtml?auction=220&hpType=60&entry=102&position=35&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_35&from=from_esf_List_screen&index=37,2025-11-28 13:34:39
朝阳,世华泊郡 纯商品楼两居 高层 精装修 满五   看房方便,540,万,63403元/㎡,2室1厅1卫,85.17,南,高层(共27层),2012,北京城建世华泊郡,朝阳,北苑,朝阳 北苑 水岸中街19号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4289487108873219x.shtml?auction=220&hpType=60&entry=102&position=36&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_36&from=from_esf_List_screen&index=38,2025-11-28 13:34:39
朝阳,"找我价格有惊喜，有钥匙等你来看,全明格局好房，三环内",730,万,77078元/㎡,2室1厅1卫,94.71,南北,中层(共21层),2004,富力城(A区),朝阳,双井,朝阳 双井 东三环路55号,南北 热门小区 近地铁 随时可看,https://bj.58.com/ershoufang/4336063428303872x.shtml?auction=220&hpType=60&entry=102&position=37&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_37&from=from_esf_List_screen&index=39,2025-11-28 13:34:39
朝阳,国贸后   九龙山地铁站 单价5点 可拥有,449,万,51245元/㎡,2室1厅1卫,87.62,东北,高层(共10层),2006,金港国际,朝阳,大望路,朝阳 大望路 西大望路19号,东北 近地铁 采光较好 多人关注,https://bj.58.com/ershoufang/4296729114140685x.shtml?auction=220&hpType=60&entry=102&position=38&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_38&from=from_esf_List_screen&index=40,2025-11-28 13:34:39
朝阳,二环边！10号线！7号线！园林社区！随时看！,666,万,77996元/㎡,2室2厅1卫,85.39,西南,中层(共23层),2005,富力城(C区),朝阳,双井,朝阳 双井 东三环中路59号,西南 近地铁 车位充足 采光较好,https://bj.58.com/ershoufang/3975212785740808x.shtml?auction=220&hpType=60&entry=102&position=39&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_39&from=from_esf_List_screen&index=41,2025-11-28 13:34:39
朝阳,（必卖好房！！）百环家园 精装修 采光好 视野开阔 近地铁,445,万,42958元/㎡,2室1厅1卫,103.59,西,低层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4064732736416775x.shtml?auction=220&hpType=60&entry=102&position=40&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_40&from=from_esf_List_screen&index=42,2025-11-28 13:34:39
朝阳,区域推荐，金都杭城东区南向两居室，看  不临街,560,万,64030元/㎡,2室2厅1卫,87.46,南,低层(共26层),2009,金都杭城(东区),朝阳,百子湾,朝阳 百子湾 石门村路,南 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4312427350531073x.shtml?auction=220&hpType=60&entry=102&position=41&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_41&from=from_esf_List_screen&index=43,2025-11-28 13:34:39
朝阳,望京南湖中园二区2室1厅,376,万,54117元/㎡,2室1厅1卫,69.48,南北,低层(共6层),2000,南湖中园(二区),朝阳,望京,朝阳 望京 湖光北街,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4271342169730056x.shtml?auction=220&hpType=60&entry=102&position=42&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_42&from=from_esf_List_screen&index=44,2025-11-28 13:34:39
朝阳,四环里 正规一居室 全明户型 中间层  落地窗 后现代城,289,万,52120元/㎡,1室1厅1卫,55.45,西北,中层(共20层),2004,后现代城(A区),朝阳,百子湾,朝阳 百子湾 百子湾路12号,西北 近地铁 房东急售 随时可看,https://bj.58.com/ershoufang/4282643184508935x.shtml?auction=220&hpType=60&entry=102&position=43&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_43&from=from_esf_List_screen&index=45,2025-11-28 13:34:39
朝阳,芍药居北里小区|北四环东路2室1厅1卫71.00平方,485,万,67681元/㎡,2室1厅1卫,71.66,东南,低层(共24层),1998,芍药居北里小区,朝阳,芍药居,朝阳 芍药居 北四环东路,东南 房东发布 有电梯 近地铁,https://bj.58.com/ershoufang/4174821421473800x.shtml?auction=220&hpType=60&entry=102&position=44&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_44&from=from_esf_List_screen&index=46,2025-11-28 13:34:39
朝阳,万科物业推荐好房  万科星园西南一居出售观景奥森,399,万,61197元/㎡,1室2厅1卫,65.2,西南,低层(共28层),2004,万科星园,朝阳,北苑,朝阳 北苑 安立路,西南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/4325150263009281x.shtml?auction=220&hpType=60&entry=102&position=45&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_45&from=from_esf_List_screen&index=47,2025-11-28 13:34:39
朝阳,望京澳洲康都1室1厅   南向   可做两居用  看,340,万,45467元/㎡,1室1厅1卫,74.78,南,低层(共28层),2006,澳洲康都,朝阳,望京,朝阳 望京 望京北路39号,南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4323354830531597x.shtml?auction=220&hpType=60&entry=102&position=46&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_46&from=from_esf_List_screen&index=48,2025-11-28 13:34:39
朝阳,芍药居北里小区 购物方便 楼层好 医疗配套成熟 南北通透,425,万,70156元/㎡,2室1厅1卫,60.58,南北,中层(共6层),1995,芍药居北里小区,朝阳,芍药居,朝阳 芍药居 北四环东路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/3937189171683328x.shtml?auction=220&hpType=60&entry=102&position=47&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_47&from=from_esf_List_screen&index=49,2025-11-28 13:34:39
朝阳,十里堡北里  南北通透三居室 户型方正 中间层 采光好,320,万,46499元/㎡,3室1厅1卫,68.82,南北,低层(共6层),1984,十里堡北里,朝阳,十里堡,朝阳 十里堡 朝阳北路,南北 近地铁 户型方正,https://bj.58.com/ershoufang/4231346188889090x.shtml?auction=220&hpType=60&entry=102&position=48&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_48&from=from_esf_List_screen&index=50,2025-11-28 13:34:39
朝阳,望京集中供暖交通便捷南向采光好 精装修 商圈成熟随时能看,700,万,68440元/㎡,2室1厅1卫,102.28,南,低层(共26层),2010,上京新航线,朝阳,望京,朝阳 望京 望京北路,南 热门小区 满五 房东急售,https://bj.58.com/ershoufang/3568549903342599x.shtml?auction=220&hpType=60&entry=102&position=49&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_49&from=from_esf_List_screen&index=51,2025-11-28 13:34:39
